INFO  - [SOLR] - 2018-12-12 20:36:44.097; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_43
INFO  - [SOLR] - 2018-12-12 20:36:44.226; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - [SOLR] - 2018-12-12 20:36:44.229; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - [SOLR] - 2018-12-12 20:36:44.235; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - [SOLR] - 2018-12-12 20:36:44.235; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - [SOLR] - 2018-12-12 20:36:44.352; org.apache.solr.schema.IndexSchema; Schema name=example
INFO  - [SOLR] - 2018-12-12 20:36:44.370; org.apache.solr.schema.IndexSchema; Schema name=example
INFO  - [SOLR] - 2018-12-12 20:36:45.046; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - [SOLR] - 2018-12-12 20:36:45.047; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - [SOLR] - 2018-12-12 20:36:45.227; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - [SOLR] - 2018-12-12 20:36:45.237; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - [SOLR] - 2018-12-12 20:36:45.533; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - [SOLR] - 2018-12-12 20:36:45.546; org.apache.solr.core.SolrCore; [coreModel] Opening new SolrCore at /home/dothr/app/solr-4.3.0/example/solr/coreModel/, dataDir=/home/dothr/app/solr-4.3.0/example/solr/coreModel/data/
INFO  - [SOLR] - 2018-12-12 20:36:45.548; org.apache.solr.core.JmxMonitoredMap; JMX monitoring is enabled. Adding Solr mbeans to JMX Server: com.sun.jmx.mbeanserver.JmxMBeanServer@14325ad8
INFO  - [SOLR] - 2018-12-12 20:36:45.602; org.apache.solr.core.SolrCore; [coreModel] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
